,,timestamp,tweet
2003,jennablan,2019-31-10 00:00:15,"RT @lionelbarber: Big Twitter move.  Over to you, Facebook? https://t.co/ro0d3YWNOO"
2021,jennablan,2019-30-10 12:37:44,"Apple CEO's handling of trade war has helped buoy shares, investors say via ⁦@StephenNellis⁩  https://t.co/Trk4xMMukd"
2071,jennablan,2019-28-10 21:37:18,Amazon could challenge loss of $10 billion Pentagon cloud deal as early as next week via ⁦@nanditab1⁩  https://t.co/0hqA3c67dn
2077,jennablan,2019-28-10 15:55:55,Exclusive: Google owner Alphabet in bid to buy Fitbit - sources https://t.co/cCUAEh86hC via @GregRoumeliotis @peard33
2107,jennablan,2019-27-10 20:04:28,RT @FinancialTimes: Fact-checking Facebook’s fantasies https://t.co/0BUgAaVQo3
2146,jennablan,2019-26-10 12:48:17,"RT @michaelbatnick: If you shorted $10,000 of Amazon at the IPO, you'd have $0.0035 today. https://t.co/2Y2y4s9e2W"
2151,jennablan,2019-25-10 21:49:03,"RT @tpetruno: Running away with it: Market value gap widens between top two (Apple + Microsoft) and rest of list:

$AAPL $1.11 trillion
$MS…"
2162,jennablan,2019-25-10 12:44:57,"RT @OpenOutcrier: $AMZN (-6.1% pre) Amazon clobbered after a miss on the bottom line and soft guidance - CNBC

https://t.co/dCkhkQ1OTj"
2183,jennablan,2019-24-10 22:02:19,"RT @Hipster_Trader: “Alexa, how are Amazon’s earnings?”

....

“Alexa, hello?”"
2248,jennablan,2019-23-10 14:06:48,RT @Reuters: Facebook's Zuckerberg testifies before the U.S. House panel https://t.co/CbJTba88e2
2261,jennablan,2019-23-10 12:03:43,Zuckerberg faces grilling on Facebook's ambitious digital currency plans https://t.co/vu1Ju90Eif
2277,jennablan,2019-22-10 19:12:57,Zuckerberg admits Facebook in a poor position to promote Libra https://t.co/f9dnnou4hk via @financialtimes
2288,jennablan,2019-22-10 13:12:49,Facebook is the world’s most powerful adolescent https://t.co/KmQ6dm22Lc via @financialtimes
2292,jennablan,2019-22-10 12:36:24,@Hipster_Trader This is better than Netflix #WallStreet
2314,jennablan,2019-21-10 14:23:06,@Hipster_Trader Let’s do it cc @netflix
2339,jennablan,2019-21-10 11:16:46,"RT @chigrl: Guess $AAPL is not leaving China anytime soon &gt;Apple CEO Tim Cook joins board at China's top university
https://t.co/qKuUiuaiJ2"
2360,jennablan,2019-17-10 23:31:12,RT @FinancialTimes: Mark Zuckerberg says Facebook will not censor politicians https://t.co/XbyQ4CGken
2385,jennablan,2019-17-10 03:33:02,"RT @Bagehots: “Facebook IS a publisher.” Marc ⁦@Benioff⁩ is off to a strong start, in conversation with ⁦@nytimes⁩ Deputy Managing Editor ⁦…"
2389,jennablan,2019-16-10 21:53:18,“We’re going to change the world.” Facebook had big plans for its new cryptocurrency. Now they’re in tatters.… https://t.co/djDF399907
